Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2024-12-16 00:00:00+05:30,2089.89990234375,2093.449951171875,2058.050048828125,2063.39990234375,607487,0.0,0.0,LUPIN.NS,2024-12-16,2066.64990234375,-26.5,3.25,-23.25,1
2024-12-17 00:00:00+05:30,2066.64990234375,2076.64990234375,2040.75,2047.25,645265,0.0,0.0,LUPIN.NS,2024-12-17,2038.0,-19.39990234375,-9.25,-28.64990234375,-1
2024-12-18 00:00:00+05:30,2038.0,2113.0,2038.0,2099.10009765625,1002541,0.0,0.0,LUPIN.NS,2024-12-18,2090.0,61.10009765625,-9.10009765625,52.0,-1
2024-12-19 00:00:00+05:30,2090.0,2166.89990234375,2079.199951171875,2162.85009765625,1863968,0.0,0.0,LUPIN.NS,2024-12-19,2165.0,72.85009765625,2.14990234375,75.0,1
2024-12-20 00:00:00+05:30,2165.0,2177.75,2138.39990234375,2150.699951171875,1111341,0.0,0.0,LUPIN.NS,2024-12-20,2154.89990234375,-14.300048828125,4.199951171875,-10.10009765625,1
2024-12-23 00:00:00+05:30,2154.89990234375,2190.0,2126.550048828125,2160.300048828125,936403,0.0,0.0,LUPIN.NS,2024-12-23,2170.0,5.400146484375,9.699951171875,15.10009765625,1
2024-12-24 00:00:00+05:30,2170.0,2186.5,2150.0,2169.449951171875,499489,0.0,0.0,LUPIN.NS,2024-12-24,2176.0,-0.550048828125,6.550048828125,6.0,1
2024-12-26 00:00:00+05:30,2176.0,2198.89990234375,2157.050048828125,2182.10009765625,909730,0.0,0.0,LUPIN.NS,2024-12-26,2196.0,6.10009765625,13.89990234375,20.0,1
2024-12-27 00:00:00+05:30,2196.0,2238.0,2182.10009765625,2227.800048828125,946808,0.0,0.0,LUPIN.NS,2024-12-27,2227.800048828125,31.800048828125,0.0,31.800048828125,1
2024-12-30 00:00:00+05:30,2227.800048828125,2328.75,2226.85009765625,2311.35009765625,3018421,0.0,0.0,LUPIN.NS,2024-12-30,2310.25,83.550048828125,-1.10009765625,82.449951171875,1
2024-12-31 00:00:00+05:30,2310.25,2373.89990234375,2296.800048828125,2355.699951171875,3424089,0.0,0.0,LUPIN.NS,2024-12-31,2354.0,45.449951171875,-1.699951171875,43.75,1
2025-01-01 00:00:00+05:30,2354.0,2369.39990234375,2336.800048828125,2364.89990234375,735846,0.0,0.0,LUPIN.NS,2025-01-01,2365.0,10.89990234375,0.10009765625,11.0,1
2025-01-02 00:00:00+05:30,2365.0,2402.89990234375,2344.25,2396.10009765625,1205172,0.0,0.0,LUPIN.NS,2025-01-02,2388.85009765625,31.10009765625,-7.25,23.85009765625,-1
2025-01-03 00:00:00+05:30,2388.85009765625,2394.75,2347.35009765625,2368.85009765625,1034000,0.0,0.0,LUPIN.NS,2025-01-03,2370.0,-20.0,1.14990234375,-18.85009765625,-1
2025-01-06 00:00:00+05:30,2370.0,2382.89990234375,2340.14990234375,2360.300048828125,845909,0.0,0.0,LUPIN.NS,2025-01-06,2360.050048828125,-9.699951171875,-0.25,-9.949951171875,-1
